sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
KITINTSCLCR-CC-064-T9325,Boring kits,647.87,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITXLCFN-26-3-M2-T8330,Parting Kits,323.42,1,Non-stocked,#N/A,,#N/A,Dormer
KITXLCFN-26-3-T8330,Parting Kits,323.42,1,Stocked,#N/A,,#N/A,Dormer
KITXLCFN-32-3-M2-T8330,Parting Kits,328.57,1,Non-stocked,#N/A,,#N/A,Dormer
KITXLCFN-32-3-T8330,Parting Kits,328.57,1,Stocked,#N/A,,#N/A,Dormer
KITXLCFN-32-4-M2-T8330,Parting Kits,347.11,1,Non-stocked,#N/A,,#N/A,Dormer
KITXLCFN-32-4-T8330,Parting Kits,347.11,1,Non-stocked,#N/A,,#N/A,Dormer
KITDCLNR-25-128-M-T9325,Turning Kits,325.48,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-20-088-FM-T8430,Turning Kits,342.99,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-20-088-SM-T8430,Turning Kits,342.99,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-20-088-SM-T9325,Turning Kits,336.81,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-25-088-FM-T8430,Turning Kits,350.2,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-25-088-SM-T8430,Turning Kits,350.2,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
KITDWLNR-25-088-SM-T9325,Turning Kits,344.02,1,Non-stocked,#N/A,#N/A,#N/A,Dormer
A0021.0,Jobber Drills,5.41,10,Stocked,0.68,0,1.73,Dormer
A0021.1,Jobber Drills,5.61,10,Stocked,0.68,0,1.80,Dormer
A0021.2,Jobber Drills,5.61,10,Stocked,0.68,0,1.80,Dormer
A0021.3,Jobber Drills,5.41,10,Stocked,0.68,0,1.73,Dormer
A0021.4,Jobber Drills,5.2,10,Stocked,0.68,0,1.66,Dormer
A0021.5,Jobber Drills,4.74,10,Stocked,0.68,0,1.52,Dormer
A0021.6,Jobber Drills,4.58,10,Stocked,0.68,0,1.47,Dormer
A0021.7,Jobber Drills,4.89,10,Stocked,0.68,0,1.56,Dormer
A0021.8,Jobber Drills,4.84,10,Stocked,0.68,0,1.55,Dormer
A0021.9,Jobber Drills,4.74,10,Stocked,0.68,0,1.52,Dormer
A0021/16,Jobber Drills,4.58,10,Stocked,0.68,0,1.47,Dormer
A0021/2,Jobber Drills,46.45,5,Stocked,0.68,0,14.86,Dormer
A0021/4,Jobber Drills,9.99,10,Stocked,0.68,0,3.20,Dormer
A0021/8,Jobber Drills,4.33,10,Stocked,0.68,0,1.39,Dormer
A00210.0,Jobber Drills,23.9,10,Stocked,0.68,0,7.65,Dormer
A00210.1,Jobber Drills,31.42,5,Stocked,0.68,0,10.05,Dormer
