sku,product_name,supplier_name,unit_price
5003 3.400,"5003 3,400 D2.5/3.4MM CARBIDE STEP DRILL; D4.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 4.500,"5003 4,500 Ø3.3/4.5MM CARBIDE STEP DRILL; Ø4.5MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 5.500,"5003 5,500 Ø4.2/5.5MM CARBIDE STEP DRILL; Ø6.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 6.600,"5003 6,600 Ø5.0/6.6MM CARBIDE STEP DRILL; Ø8.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 9.000,"5003 9,000 Ø6.8/9.0MM CARBIDE STEP DRILL; Ø10.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 11.000,"5003 11,000 D8.5/11.0MM CARBIDE STEP DRILL; D12.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 13.500,"5003 13,500 D10.2/13.5MM CARBIDE STEP DRILL; D14.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 14.000,"5003 14,000 D12.0/14.0MM CARBIDE STEP DRILL; D14.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5003 16.000,"5003 16,000 D14.0/16.0MM CARBIDE STEP DRILL; D16.0MM SHANK; FIRE COATED",Guhring Aus Stock Reseller,
5007 9.728,"BSPT TAPS 1/8"" - HSCO - 4 Flute- 63mm o/a - shank 7mm (5007 9,728)",Guhring Aus Stock Reseller,
5007 13.157,"BSPT TAPS 1/4"" - HSCO - 4 Flute- 63mm o/a - shank 11mm (5007 13,157)",Guhring Aus Stock Reseller,
5007 16.662,"BSPT TAPS 3/8"" - HSCO - 4 Flute- 70mm o/a - shank 12mm (5007 16,662)",Guhring Aus Stock Reseller,
5007 20.955,"BSPT TAPS 1/2"" - HSCO - 4 Flute- 80mm o/a - shank 16mm (5007 20,955)",Guhring Aus Stock Reseller,
5007 26.441,"BSPT TAPS 3/4"" - HSCO - 4 Flute- 100mm o/a - shank 20mm (5007 26,441)",Guhring Aus Stock Reseller,
5007 33.249,"BSPT TAPS 1"" - HSCO - 4 Flute- 110mm o/a - shank 25mm (5007 33,249)",Guhring Aus Stock Reseller,
