product_name,supplier_name,sku,unit_price
USB Data Acquisition Cable,Master 01 Apr,,
USB Programmable Data Acquisition Cable,Master 01 Apr,,
150mm Metric Dial Caliper,Master 01 Apr,,
150mm Dial Caliper,Master 01 Apr,,
"6"" Dial Caliper",Master 01 Apr,,
200mm Metric Dial Caliper,Master 01 Apr,,
200mm Dial Caliper,Master 01 Apr,,
"8"" Dial Caliper",Master 01 Apr,,
300mm Metric Dial Caliper,Master 01 Apr,,
"12"" Dial Caliper",Master 01 Apr,,
150mm Dualscale Large Screen Digital Caliper,Master 01 Apr,,
200mm Dualscale Large Screen Digital Caliper,Master 01 Apr,,
300mm Dualscale Large Screen Digital Caliper,Master 01 Apr,,
9-150 mm Inside Groove Caliper,Master 01 Apr,,
9-200 mm Inside Groove Caliper,Master 01 Apr,,
150mm Digital Caliper,Master 01 Apr,,
150mm Dual Scale Digital IP54 Caliper,Master 01 Apr,,
150mm Dual Scale Digital Caliper,Master 01 Apr,,
150mm Dual Scale Digital Caliper,Master 01 Apr,,
200mm Digital Caliper,Master 01 Apr,,
200mm Dual Scale Digital IP54 Caliper,Master 01 Apr,,
200mm Dual Scale Digital Caliper,Master 01 Apr,,
200mm Dual Scale Digital Caliper,Master 01 Apr,,
300mm Digital Caliper,Master 01 Apr,,
300mm Dual Scale Digital IP54 Caliper,Master 01 Apr,,
300mm Dual Scale Digital Caliper,Master 01 Apr,,
300mm Dual Scale Digital Caliper,Master 01 Apr,,
150mm Ip67 Digital Caliper,Master 01 Apr,,
150mm Coolant Proof Dual Scale Digital IP67 Caliper,Master 01 Apr,,
200mm Ip67 Digital Caliper,Master 01 Apr,,
200mm Coolant Proof Dual Scale Digital IP67 Caliper,Master 01 Apr,,
300mm Ip67 Digital Caliper,Master 01 Apr,,
300mm Coolant Proof Dual Scale Digital IP67 Caliper,Master 01 Apr,,
150mm Fractional Imperial & Metric IP54 Digital Caliper,Master 01 Apr,,
200mm Fractional Imperial & Metric Digital IP54 Caliper,Master 01 Apr,,
300mm Fractional Metric & Imperial IP54 Digital Caliper,Master 01 Apr,,
100mm Mini Digital Caliper,Master 01 Apr,,
150mm Carbide Tipped Dual Scale Digital Caliper,Master 01 Apr,,
200mm Carbide Tipped Dual Scale Digital Caliper,Master 01 Apr,,
300mm Carbide Tipped Dual Scale Digital Caliper,Master 01 Apr,,
150mm Plastic Digital Caliper,Master 01 Apr,,
300mm Dual Scale Digital Caliper,Master 01 Apr,,
500mm Digital Caliper,Master 01 Apr,,
500mm Digital Caliper,Master 01 Apr,,
500mm Dualscale Digital Caliper,Master 01 Apr,,
600mm Dual Scale Digital Caliper,Master 01 Apr,,
600mm Digital Caliper,Master 01 Apr,,
1000mm Dual Scale Digital Caliper,Master 01 Apr,,
1000mm Dualscale Digital Caliper,Master 01 Apr,,
600mm Dual Scale Digital Caliper,Master 01 Apr,,
600mm Dual Scale Long Jaw Digital Caliper,Master 01 Apr,,
1000mm Dual Scale Digital Caliper,Master 01 Apr,,
1000mm Digital Long Jaw Caliper,Master 01 Apr,,
1500mm Digital Caliper,Master 01 Apr,,
150mm Dual Scale Vernier Caliper,Master 01 Apr,,
200mm Dual Scale Vernier Caliper,Master 01 Apr,,
300mm Dual Scale Vernier Caliper,Master 01 Apr,,
70mm Mini Vernier Caliper,Master 01 Apr,,
150mm Vernier Caliper,Master 01 Apr,,
200mm Vernier Caliper,Master 01 Apr,,
200mm Vernier Caliper,Master 01 Apr,,
125mm Vernier Caliper,Master 01 Apr,,
175mm Vernier Caliper,Master 01 Apr,,
275mm Vernier Caliper,Master 01 Apr,,
