product_name,unit_price,supplier_name,sku
NORTON AIR SANDER 2.5MM ROS 152MMMM CVAC,337.07,Norton,
NORTON AIR SANDER 5MM ROS 152MMMM CVAC,337.07,Norton,
* PIN STRIPE AND DECAL REMOVAL CLEANING WHEEL,56.13,Norton,
* CLEANING WHEEL SPINDLE,17.15,Norton,
ABRASIVE RESTORER STICK,20.58,Norton,
BEAR-TEX PAD HOLDER HANG SELL,28.68,Norton,
B/TEX HAND PAD HOLDER BEAR-TEX HAND PADS,23.61,Norton,
CLAMPED HAND SANDER-LARGE 108x372mm,28.08,Norton,
CORK SANDING BLOCK,5.18,Norton,
* SANDING BLOCK FOR ROSETTE DISC 38mm SPOT MICROFINISHING BLACK ICE ROSETTE DISCS STICK’N’SAND,36.71,Norton,
BLOCK STARTER KIT 5PC,83.83,Norton,
"* M/A SANDING BLOCK KIT 150MM DISCS INC. FLAT, CONC. & CONV. PROFILES MULTI-AIR",206.25,Norton,
* 4M TUBE WITH CONICAL ADAPTOR FOR M-A BLOCK MULTI-AIR,116.36,Norton,
* SANDING BLOCK 70x420mm MULTI-AIR,380.77,Norton,
^ 115mm x M14-2.00 BEAR-TEX BACK UP PADS,110.23,Norton,
127mm x M14-2.00 BEAR-TEX BACK UP PADS,113.96,Norton,
180mm x M14-2.00 BEAR-TEX BACK UP PADS,127.64,Norton,
* ZEC DISC BACK UP PAD 180mm,41.4,Norton,
* 150mm x 5/16 NH STICK ‘N’ SAND BACK-UP PADS,75.34,Norton,
* 150mm x 5/16 6H STICK ‘N’ SAND BACK-UP PADS,90.98,Norton,
* 200mm x M14 NH STICK ‘N’ SAND BACK-UP PADS,103.68,Norton,
TR (TYPE 3) DISC BACK UP PAD 50mm,25.94,Norton,
TR (TYPE 3) DISC BACK UP PAD 75mm,29.41,Norton,
TR+ (TYPE 4) HOLDER 100mm,45.52,Norton,
TR (TYPE 3) DISC BACK UP PAD 50mm (1 PAD),28.38,Norton,
TR (TYPE 3) DISC BACK UP PAD 75mm (1 PAD),31.86,Norton,
* 100xM10-1.25 FIBRE DISC BACK-UP PADS,14.88,Norton,
100xM10-1.5 FIBRE DISC BACK-UP PADS,14.88,Norton,
115xM14-2.0 FIBRE DISC BACK-UP PADS,14.88,Norton,
125xM14-2.0 FIBRE DISC BACK-UP PADS,21.19,Norton,
180xM14-2.0 FIBRE DISC BACK-UP PADS,27.32,Norton,
TURBO BACKUP PAD 100xM10-1.5 FIBRE DISC,29.13,Norton,
TURBO BACKUP PAD 115xM14-2.00 FIBRE DISC,33.47,Norton,
TURBO BACKUP PAD 125xM14-2.00 FIBRE DISC,38.35,Norton,
TURBO BACKUP PAD 178xM14 FIBRE DISC,57.15,Norton,
125xM14-2.00 FIBRE DISC HARD BACKUP PAD,39.42,Norton,
MULTI AIR BACK UP PAD 150mm MEDIUM,176.66,Norton,
150mm x 5/16 NH PRO SPEED-GRIP BACK-UP PADS,75.13,Norton,
150mm x 5/16 6H PRO SPEED-GRIP BACK-UP PADS,82.44,Norton,
150mm x M14 NH PRO SPEED-GRIP BACK-UP PADS,84.43,Norton,
150mm x M8 & 5/16 14+1H MEDIUM PRO SPEED-GRIP BACK-UP PADS,132.65,Norton,
^ 150mm x M8 & 5/16 14+1H SOFT PRO SPEED-GRIP BACK-UP PADS,132.65,Norton,
200mm x M14 NH PRO SPEED-GRIP BACK-UP PADS,104.85,Norton,
^ AVOS BACK UP PAD 115xM14-2.0,22.68,Norton,
230 mm DRY WALL BACK-UP PAD (DISPLAY PACK) PRO SPEED-GRIP BACK-UP PADS,42.98,Norton,
RADIAL SANDER 225MM ALUMINIUM CONNECTOR WITH RUBBER PROTECTIVE RING,47.64,Norton,
^ 76mm NH PRO SPEED-GRIP FOAM INTERFACE,26.7,Norton,
150mm 6+1H PRO SPEED-GRIP FOAM INTERFACE,33.05,Norton,
150mm 14+1H PRO SPEED-GRIP FOAM INTERFACE,33.83,Norton,
* 150mm PAD SAVER SPG MULTI-AIR,22.13,Norton,
150mm PAD SAVER SPG 14+1H,22.13,Norton,
70x198mm PAD SAVER SPG MULTI-AIR,16.4,Norton,
70x400mm PAD SAVER SPG MULTI-AIR,32.19,Norton,
SPEEDGRIP CONVERTER KIT 115mm x 8H (SELF ADHESIVE),11.99,Norton,
SPEEDGRIP CONVERTER KIT 125mm (SELF ADHESIVE),11.99,Norton,
SPEEDGRIP CONVERTER KIT 125mm x 8H (SELF ADHESIVE),9.08,Norton,
SPEEDGRIP CONVERTER KIT 150mm (SELF ADHESIVE),13.62,Norton,
SPEEDGRIP CONVERTER KIT 150mm x 6H (SELF ADHESIVE),11.97,Norton,
SPEEDGRIP CONVERTER KIT 178mm (SELF ADHESIVE),17.48,Norton,
SPEEDGRIP CONVERTER KIT 200mm (SELF ADHESIVE),20.58,Norton,
SPEEDGRIP CONVERTER KIT 230mm (SELF ADHESIVE),29.81,Norton,
SPEEDGRIP CONVERTER KIT 305mm (SELF ADHESIVE),48.77,Norton,
SPEEDGRIP CONVERTER KIT 356mm (SELF ADHESIVE),98.34,Norton,
* NORTON HAND SCRAPER & SHARPENING TOOL KIT,209.12,Norton,
150x20xMULTI BORE A36PVBE CRSE/MED GENERAL PURPOSE BENCH/PEDESTAL GRINDING WHEELS TYPE 1 ALUMINIUM OXIDE,37.15,Norton,
